Distance,3min,3min_sim,6min,6min_sim,10min,10min_sim,15min,15min_sim,50min_sim,100min_sim,200min_sim,
1.01465e+02,1.70642e+01,1.67081e+01,1.69262e+01,1.72661e+01,1.79206e+01,1.78584e+01,1.82766e+01,1.82215e+01,1.88272e+01,1.89525e+01,1.89645e+01,
1.02145e+02,1.70744e+01,1.66947e+01,1.72146e+01,1.72149e+01,1.78552e+01,1.78169e+01,1.82463e+01,1.81907e+01,1.88153e+01,1.89459e+01,1.89610e+01,
1.02841e+02,1.70847e+01,1.66828e+01,1.73111e+01,1.71638e+01,1.78151e+01,1.77740e+01,1.82128e+01,1.81588e+01,1.88030e+01,1.89391e+01,1.89574e+01,
1.03605e+02,1.70956e+01,1.66715e+01,1.73970e+01,1.71095e+01,1.77665e+01,1.77266e+01,1.81763e+01,1.81234e+01,1.87893e+01,1.89316e+01,1.89534e+01,
1.04285e+02,1.70832e+01,1.66627e+01,1.73611e+01,1.70629e+01,1.77181e+01,1.76841e+01,1.81488e+01,1.80915e+01,1.87770e+01,1.89248e+01,1.89498e+01,
1.04965e+02,1.68223e+01,1.66548e+01,1.73176e+01,1.70182e+01,1.76852e+01,1.76414e+01,1.81193e+01,1.80593e+01,1.87646e+01,1.89180e+01,1.89462e+01,
1.05475e+02,1.65491e+01,1.66493e+01,1.72818e+01,1.69861e+01,1.76954e+01,1.76093e+01,1.80959e+01,1.80349e+01,1.87551e+01,1.89128e+01,1.89434e+01,
1.05940e+02,1.65517e+01,1.66446e+01,1.72464e+01,1.69578e+01,1.77045e+01,1.75799e+01,1.80733e+01,1.80125e+01,1.87465e+01,1.89080e+01,1.89409e+01,
1.06595e+02,1.67205e+01,1.66384e+01,1.69249e+01,1.69200e+01,1.77169e+01,1.75385e+01,1.80386e+01,1.79807e+01,1.87342e+01,1.89013e+01,1.89374e+01,
1.07275e+02,1.68069e+01,1.66323e+01,1.67278e+01,1.68832e+01,1.76663e+01,1.74955e+01,1.79988e+01,1.79475e+01,1.87214e+01,1.88942e+01,1.89336e+01,
1.07971e+02,1.68726e+01,1.66264e+01,1.65222e+01,1.68482e+01,1.76070e+01,1.74515e+01,1.79538e+01,1.79130e+01,1.87080e+01,1.88869e+01,1.89297e+01,
1.08735e+02,1.69348e+01,1.66201e+01,1.60000e+01,1.68130e+01,1.75391e+01,1.74034e+01,1.78985e+01,1.78750e+01,1.86933e+01,1.88788e+01,1.89254e+01,
1.09415e+02,1.69614e+01,1.66147e+01,1.60000e+01,1.67845e+01,1.74905e+01,1.73608e+01,1.78495e+01,1.78408e+01,1.86800e+01,1.88715e+01,1.89216e+01,
1.10095e+02,1.68508e+01,1.66095e+01,1.60000e+01,1.67586e+01,1.74358e+01,1.73186e+01,1.78423e+01,1.78064e+01,1.86666e+01,1.88641e+01,1.89177e+01,
1.10605e+02,1.67442e+01,1.66056e+01,1.60000e+01,1.67408e+01,1.74055e+01,1.72871e+01,1.78368e+01,1.77804e+01,1.86565e+01,1.88585e+01,1.89147e+01,
1.11070e+02,1.67129e+01,1.66022e+01,1.60000e+01,1.67258e+01,1.74265e+01,1.72587e+01,1.78317e+01,1.77566e+01,1.86472e+01,1.88534e+01,1.89120e+01,
1.11725e+02,1.66742e+01,1.65974e+01,1.60000e+01,1.67066e+01,1.74545e+01,1.72191e+01,1.78244e+01,1.77229e+01,1.86340e+01,1.88462e+01,1.89082e+01,
1.12405e+02,1.66299e+01,1.65926e+01,1.60000e+01,1.66888e+01,1.74818e+01,1.71787e+01,1.78168e+01,1.76878e+01,1.86201e+01,1.88386e+01,1.89042e+01,
1.13101e+02,1.60000e+01,1.65879e+01,1.60000e+01,1.66728e+01,1.75080e+01,1.71381e+01,1.78088e+01,1.76516e+01,1.86058e+01,1.88307e+01,1.89000e+01,
1.13865e+02,1.60000e+01,1.65830e+01,1.60000e+01,1.66575e+01,1.73118e+01,1.70947e+01,1.77729e+01,1.76118e+01,1.85900e+01,1.88221e+01,1.88954e+01,
1.14545e+02,1.60000e+01,1.65788e+01,1.60000e+01,1.66456e+01,1.71641e+01,1.70571e+01,1.77304e+01,1.75762e+01,1.85757e+01,1.88143e+01,1.88913e+01,
1.15225e+02,1.60000e+01,1.65749e+01,1.60000e+01,1.66353e+01,1.69812e+01,1.70207e+01,1.76833e+01,1.75405e+01,1.85614e+01,1.88064e+01,1.88872e+01,
1.15768e+02,1.60000e+01,1.65721e+01,1.60000e+01,1.66281e+01,1.69874e+01,1.69926e+01,1.76416e+01,1.75120e+01,1.85498e+01,1.88001e+01,1.88838e+01,
1.16345e+02,1.60000e+01,1.65693e+01,1.60000e+01,1.66213e+01,1.72096e+01,1.69636e+01,1.75925e+01,1.74817e+01,1.85374e+01,1.87933e+01,1.88802e+01,
